Timestamp,FQR,FQ,FCR,FC,CLR,CL,TMR,TM,FER,FE,PVR,PV,STR,ST,RECR,REC,Can you describe your experience at the restaurant in your own language?,Classification1
2024-06-07 22:03:54,High,8,Medium,4,Medium,4,Medium,6,High,8,High,8,High,7,Medium,4,It was a different experience than most other. In a not so good way.,High
2024-06-23 23:33:54,High,9,High,9,High,9,High,8,Medium,5,High,9,High,9,High,9,Very good,High
2024-06-23 23:35:56,Low,3,Medium,5,High,7,Medium,6,Medium,6,Medium,5,Low,3,Low,3,"Basically they served food with very less in amount, taste was average and process was too much, I would rather prefer street food than that restaurant, though I hardly go to restaurants, but after that one, my beliefs towards restaurants is decreasing day by day. ",Low
2024-06-23 23:36:23,High,10,High,10,High,10,High,8,High,7,High,10,High,9,High,9,"Excellent environment, proper air conditioning, friendly service, good quality food and reasonable price",High
2024-06-23 23:49:45,High,8,High,9,High,9,High,9,High,10,High,8,High,8,High,7,Super,High
2024-06-23 23:50:03,High,8,High,9,High,9,High,8,High,10,High,9,High,8,High,9,The environment was comfortable with polite service.Food quality and quantity was satisfying but a little pinch of salt can make them far more better .,High
2024-06-23 23:50:16,Medium,5,Medium,6,High,7,High,7,Medium,6,High,7,High,7,High,7,Good ,Medium
2024-06-23 23:52:07,High,9,High,8,High,8,High,8,Medium,4,High,7,High,7,High,7,Left a lasting impression ,High
2024-06-23 23:53:37,High,9,High,10,High,9,High,9,High,7,High,10,High,10,High,10,"It was a delightful experience. The cuisine was excellent and memorable, especially since I tried Mozzarella cheese sticks for the first time in there. Service was professional.",High
2024-06-24 01:11:46,High,10,High,10,High,8,Medium,6,Medium,6,High,8,High,10,High,10,"It was this restaurant that I went to with my family. It was long ago so I can't remember well except that the food was really good and while we were eating, the chef himself greeted us and offered one of his special dessrets. He was a nice guy.",High
2024-06-24 01:14:09,High,8,High,7,High,9,High,7,Medium,5,High,8,Medium,6,High,8,Yamete,High
2024-06-24 01:18:18,High,8,Medium,6,High,7,High,8,High,8,High,7,High,7,High,8,"The naga burger I ordered was delicious and spicy, just the way I like it. The service was quick and the behavior of the staff was polite and nice. The ambiance was moderately well for a small restaurant.",High
2024-06-24 04:09:00,High,9,High,8,High,9,Medium,4,High,9,High,8,High,8,High,8,The experience of the restaurant is quite good. Some of their foods are delicious. However the price of the foods are too high according to amount.,High
2024-06-24 04:26:12,High,10,High,8,High,9,High,7,High,10,High,8,High,9,High,10,Well I always like to try different kind of dish. So recently the restaurant I had experienced was really good. The food was warm & fresh. Services was also good. Enjoyed it a lot,High
2024-06-24 06:38:11,High,8,High,10,High,7,Medium,5,High,10,High,10,High,10,High,10,"Its name is coral station in Cox's Bazaar , very beautifully decorated, seems like heaven on earth, food is really good , nice environment was the most highlighting one. ",High
2024-06-07 22:03:54,High,,High,,High,,High,,High,8,High,,High,,High,,,High
2024-06-23 23:33:54,High,7,Medium,4,Medium,5,High,7,Medium,5,High,7,Medium,6,Medium,6,Somewhat good,High
2024-06-23 23:35:56,High,8,Medium,6,Medium,6,High,9,Medium,6,High,8,High,8,High,7,"That one was good, pretty good. ",High
2024-06-23 23:36:23,High,8,High,7,High,7,Medium,6,High,7,High,7,High,7,High,7,"Moderate environment, food was okay, satisfied overall",High
2024-06-23 23:49:45,Medium,5,Medium,6,High,7,Medium,6,High,10,Medium,5,Medium,6,Medium,5,Average,Medium
2024-06-23 23:50:03,High,8,High,8,High,8,High,8,High,10,High,8,High,8,High,8,Cozy but authentic vibes. The food quarantine was satisfying but they need to focus on a healthy diet.,High
2024-06-23 23:50:16,High,7,High,7,High,7,High,7,Medium,6,High,7,High,7,High,7,Good ,High
2024-06-23 23:52:07,High,9,Medium,6,High,7,High,8,Medium,4,High,7,High,7,Medium,6,It was overall okay,High
2024-06-23 23:53:37,High,7,High,10,High,9,High,9,High,7,High,8,High,7,Medium,6,I didn't like the cuisine offered. The service and atmosphere were pretty good though.,High
